Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_Price,Oats_Area,Oats_Production,Oats_Price,Corn_Area,Corn_Production, Corn_Price ,Covid
1990,VIC,48.72,61.87,56.28,70.39,75.72,82.36,83.99,84.42,76.2,69.52,57.14,52.69,4.69,4.05,3.9,4.2,3.61,3.99,4.21,4.54,3.98,4.04,4.29,4.41,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,243.97,160.08,169.04,94.08,58.66,31.8,39.13,50.52,82.3,125.45,176.59,220.21,20.89,19.75,19.24,15.46,11.51,8.75,8.91,8.7,11.49,14.09,16.96,19.76,10.27,61.36,26.67,76.13,34.43,61.97,93.68,95.59,55.01,65.46,31.58,26.4,952.3,1961.4,159.74,388.7,696,146.84,188.6,330.4,90.2,0.3,1,100,0
1991,VIC,55.78,50.28,55.63,65.39,76,84.45,86.05,79.52,78.11,68.11,56.73,57.84,4.31,4.15,3.96,3.41,2.92,3.95,3.72,5.28,4.19,3.96,4.3,4.11,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,227.22,205.94,161.96,90.9,47.49,35.18,34.05,56.5,72.62,131.79,166.1,183.01,21.21,20.37,17.81,13.99,11.29,11.15,8.44,8.88,10.92,14.86,15.44,17.87,89.24,4.7,23.42,29.94,13.36,133.92,84.27,101.94,81.98,15.88,30.3,55.17,911.5,1493,97.06,463,650.6,109.9,177.1,301.1,74.07,0.3,2,150,0
1992,VIC,57.02,56.59,60.55,67.56,79.19,85.06,81.55,80.33,81.72,77.38,72.64,71.66,4.38,4.17,3.7,3.56,3.12,3.64,4.13,4.38,3.67,3.78,4.16,4.15,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,199.57,183.01,143.28,91.01,39.86,28.31,39.49,50.16,59.25,100.83,121.7,142.44,18.19,19.85,19.45,14.97,11.08,8.77,8.36,8.21,9.24,13.83,14.04,18.78,32.78,27.08,31.65,58.66,71.14,64.45,46.34,96.68,124.3,100.72,91.12,104.4,664.1,1150.4,115.1,533.9,897.9,118.62,182.8,300.4,108.86,0.4,3,166.67,0
1993,VIC,61.52,58.31,64.66,58.25,73.33,81.64,79.95,74.13,77.7,70.69,64.03,60.5,3.84,4.47,3.67,3.36,3.27,3.9,3.72,4.18,3.86,4.14,3.87,4.53,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,178.62,165.95,122.95,94.34,49.13,35.36,39.11,61.31,70.63,123.26,144.17,178.67,20.61,20.34,17.71,15.44,11.43,8.79,9.03,10.5,11.59,12.89,15.28,17.56,71.89,42.5,48.15,9.15,34.27,44.75,88.12,56.72,124.41,96.49,55.17,83.37,821.2,2015.1,132.75,551.5,1116.3,118.07,222.9,403.8,77.77,0.4,2.8,142.86,0
1994,VIC,53.74,59.85,61.45,64.22,70.11,81.27,76.92,74.99,70.41,62.69,58.34,46.72,4.68,4.01,3.45,3.69,4.51,3.65,3.78,3.68,4.14,4.08,4.69,4.11,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,210.01,152.27,130.21,91.91,67.63,36.52,42.17,56.09,80.25,135.35,172.98,250.68,18.73,20.82,16.94,14.61,11.59,9.44,8.49,8.09,10.03,13.84,15.84,20.59,31.25,82.23,21.22,27.87,40.64,65.08,29.81,31.43,42.18,44.41,53.37,20.35,779.9,2021.9,128.94,639.5,1386.23,90.83,185.84,362.01,63.82,0.24,1.68,179.22,0
1995,VIC,55.36,52.06,60.52,69.06,80.96,84.36,86.2,79.11,76.84,71.08,65.59,59.28,4.1,4.13,4.13,4.14,3.35,4.18,4.14,3.94,3.58,4.14,4.26,4.29,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,215.96,188.97,164.2,81.93,45.24,34.98,35.97,61.84,75.27,111.74,158.48,192.6,21.31,20.84,16.85,12.32,11.13,9.11,7.46,9.96,10.55,12.9,15.88,16.61,69.43,24.77,22.28,66.49,84.71,94.86,96.84,37.87,46.13,81.55,53.08,35.37,821.8,933.6,187.67,492.26,448.15,218.91,147.74,200.61,216.85,0.7,5.14,214.22,0
1996,VIC,55.74,56.22,58.67,71.46,76.39,82.85,86.1,81.58,74.75,69.09,60.72,53.6,4.42,4.4,4.07,3.98,3.14,3.73,3.93,4.19,5.1,3.99,4.69,4.19,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,195.33,178.12,152.33,78.72,48.23,33.75,34.89,53.25,92.17,125.74,170.03,206.64,19.69,18.63,17.81,12.79,11.49,9.28,8.16,9.56,10.99,13.89,14.6,17.01,56.1,55.11,44.15,46.19,27.08,86.14,93.12,85.39,97.3,45.12,37.69,30.42,853.4,1921.2,217.84,627.52,1341.66,217.27,186.98,391.66,139.67,1.15,6.81,205.68,0
1997,VIC,49.82,49.85,60.67,60.28,77.3,79.28,79.33,75.05,77.19,64.03,58.74,52.92,4.5,3.8,4.07,3.41,3.31,3.7,3.38,4.03,3.3,4.16,3.75,4.19,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,249.18,213.08,151.36,97.03,47.68,36.78,38.08,55.78,72.17,142.46,178.11,234.56,21.17,23.56,16.82,14.21,11.29,9.02,7.19,8.56,10.88,13.9,17.36,19.05,41.77,13.62,25.74,10.26,68.03,38.79,27.4,57.77,75.68,35.6,55.7,13.46,962.6,2262.3,170.1,584.68,1189.37,170.85,174.56,304.05,129.92,0.96,6.54,229.47,0
1998,VIC,54.2,51.02,53.77,66.49,75.1,80.86,82.3,79.31,74.47,66.86,62.02,55.17,4.21,4.11,3.96,3.44,3.34,3.9,3.64,3.27,4.19,4.19,4.01,4.18,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,234.28,206.77,180.11,86.01,51.79,45.87,34.72,52.98,84.14,127.14,154.87,210.63,21.29,20.25,18.39,13.42,11.34,8.54,7.26,9.82,12.29,12.9,15.43,19.33,33.82,33.97,9.78,64.05,26.47,88.08,70.41,41.04,70.44,67.17,75.87,34.96,856.8,1502.8,217.17,618.11,928.26,196.09,172.34,369.08,193.31,0.94,10.22,254.85,0
1999,VIC,53.27,57.31,63.24,66.89,69.74,81.24,78.94,78.49,70.39,66.03,60.11,57.75,4.04,4,3.78,3.21,3.82,3.7,3.7,3.74,3.85,3.77,3.91,4.49,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,234.09,173.37,146.99,88.05,58.85,34.26,39.17,54.72,92.86,121.68,152.21,205.98,22.7,21.44,17.9,12.93,11.9,9.19,9.08,9.91,12.53,14.66,14.73,18.51,34.17,39.8,52.75,23.19,64.07,49.81,39.01,75.29,42.98,54.66,52.8,73.22,948.6,1462.3,217.17,568.15,869.84,196.09,187.99,458.02,193.31,0.52,2.55,254.85,0
2000,VIC,54,50.59,61.48,68.83,76.91,82.86,81.31,79.42,76.67,71.14,68.91,50.75,4.49,4.21,3.75,3.49,3.98,3.78,3.86,3.45,4.49,4.01,3.68,4.06,17.94,15.65,12.4,8.63,5.82,4.56,5.03,7.12,10.23,13.64,16.14,18,0.51,0.43,0.31,0.18,0.09,0.06,0.06,0.11,0.18,0.3,0.4,0.49,219.59,215.99,152.38,88.47,53.35,32.75,40.84,48.67,80,110.18,155.84,235.32,19.4,23.34,19.27,15,10.78,8.89,8.4,8.97,11.66,13.14,18.4,19.34,25.75,46.94,25.53,51.43,86.09,48.17,62.86,58.27,85.1,82.4,63.61,24.99,1234.6,2642.1,217.17,585.26,1189.3,196.09,138.27,296.26,193.31,0.68,4.01,254.85,0
2001,VIC,48.32,52.11,58.57,66.14,78.11,79.71,84.1,74.86,74.2,71.35,64.2,59.74,4.29,4.2,3.98,3.7,3.02,3.69,3.14,4.63,3.83,4.27,4.09,4.27,16.84,15.37,12.19,8.58,5.65,4.37,4.68,6.84,9.77,12.42,15.23,15.92,0.49,0.44,0.31,0.18,0.09,0.05,0.06,0.09,0.18,0.26,0.36,0.42,245.4,196.84,154.52,94.32,50.09,35.48,34.52,64.05,82.7,107.7,139.85,186.27,23.49,23,17.83,14.41,11.34,10.02,8.72,9.86,12.96,12.7,14.97,16.39,32.74,32.14,50.08,49.86,23.87,60.31,46.27,91.4,58.4,88.55,52.56,31.13,1142.6,3079.7,217.17,693.21,1670.47,196.09,139.86,351.39,193.31,0.83,7.61,254.85,0
2002,VIC,53.91,58.5,57.73,65.66,72.42,76.13,74.06,73.64,63.75,60.94,53.37,51.71,4.3,4.5,4.12,3.06,3.32,4.41,4.38,3.68,4.73,4.45,3.96,4.65,16.94,14.67,12.54,8.75,5.91,4.65,5.07,7.19,10.18,13.15,16.08,17.65,0.47,0.4,0.31,0.18,0.1,0.06,0.06,0.11,0.18,0.29,0.41,0.48,215.11,174.58,167.8,94.08,59.53,45.68,49.67,61.34,108.28,145.89,191.06,241.01,19.21,19.22,18.14,15.99,11.76,9.49,8.83,9.16,11.83,13.93,17.48,19.44,28.79,48.5,23.65,38.01,38.74,61.98,41.49,33.78,48.63,32.54,36.9,31.1,1136.4,2791.4,225.77,700.12,1655.72,191.89,141.97,333.92,173.1,0.94,9.12,175.46,0
2003,VIC,47.91,55.89,64.19,68.57,73.66,80.33,78.41,76.49,72.67,71.27,59.61,53.15,4.52,3.96,3.91,3.51,3.27,4.01,3.97,4.4,4.85,3.99,3.99,4.04,17.84,15.34,12.34,8.81,5.89,4.4,5.16,6.89,10.37,12.9,16.82,18.34,0.5,0.41,0.3,0.18,0.1,0.05,0.06,0.1,0.19,0.26,0.41,0.49,263.44,188.47,161.06,96.72,55.58,41.75,43.1,58.87,90.14,111.32,173.3,215.14,21.39,21.36,17.62,15.12,11.81,9.64,8.51,8.59,10.38,11.53,16.83,20.36,19.65,41.21,24.61,42.85,40.84,68.67,72.02,89.78,52.02,71.82,33.78,57.57,1238.9,890.2,260.06,777.52,478.42,266.51,188.07,250.09,240.32,1.39,15.2,164.48,0
2004,VIC,54.75,51.95,55.81,64.56,74.75,77.77,81.06,75.97,77.17,64.27,61.72,59.24,4.21,3.95,3.74,3.6,3.89,4.66,3.97,3.82,3.52,3.93,4.17,4.16,17.6,16.17,13.03,8.64,5.87,4.38,4.96,7.17,9.56,14.32,15.89,18.01,0.49,0.45,0.33,0.19,0.1,0.06,0.06,0.11,0.18,0.31,0.4,0.49,219.68,202.35,174.22,101.59,55.31,43.73,42.91,60.96,69.72,138.1,165.69,203.54,18.54,21.28,17.86,14.98,10.62,9.42,7.86,9.69,11.01,14.46,16.35,18.82,28.41,15.31,17.33,32.74,42.11,79.56,60.88,67.43,63.45,29.57,80.44,65.1,1409.2,3145.5,176.07,871.62,2274.52,144.52,194.3,507.28,106.06,0.6,6.57,258.91,0
2005,VIC,54.55,61.74,59.24,57.89,69.22,76.81,81.56,74.5,73.38,67.94,61.12,51.55,4.09,4.19,3.74,3.77,3.25,3.7,3.64,4.44,3.75,3.89,4.23,4.86,18.09,14.78,12.5,9.26,6.05,4.57,4.97,7.06,9.86,13.22,16.73,18.4,0.51,0.4,0.31,0.2,0.1,0.05,0.06,0.1,0.17,0.28,0.41,0.49,221.94,159.27,155.42,121.01,61.82,42.77,37.05,63.31,79.1,121.64,174.37,227.89,20.59,18.53,17.18,16.87,11.63,10.03,9.08,9.77,11.28,14.16,17.19,19.45,39.63,83.31,15.28,19.32,12.52,78.11,58.07,82.88,64.73,73.28,52.81,42.03,1327,1927.1,155.52,924.29,1305.08,140.76,149.86,284.45,141.33,1.04,2.24,267.98,0
2006,VIC,51.22,55.55,55.66,66.35,79.27,81.91,81.41,73.42,65.39,53.12,52.36,46.85,4.23,3.98,3.63,3.89,3.37,3.11,3.72,3.33,4.13,3.98,4.19,4.42,18.2,16.55,13.23,8.13,5.6,4.83,4.91,7.65,10.85,15.36,17.07,18.24,0.53,0.46,0.33,0.17,0.09,0.06,0.07,0.13,0.21,0.34,0.43,0.51,249.03,188.11,172.87,87.22,47.56,32.43,43.7,63.49,107.45,178.06,205.62,242.17,23.04,20.26,19.5,12.61,10.15,7.71,8.55,9.59,12.27,14.4,17.02,18.8,40.72,19.28,17.2,51.11,47.37,24.15,53.74,27.78,40.29,8.74,25.06,14.87,1314.6,2908.9,160.17,866.48,2003.56,117.05,151.3,328.13,104.84,1.93,19.22,166.58,0
2007,VIC,54.88,56.25,58.58,64.21,72.89,85.8,84.31,76.85,68.55,61.44,63.61,54.41,4.39,3.83,4.19,3.32,4.34,3.66,3.97,4.04,4.46,4.16,3.57,4.01,17.53,16.44,12.63,8.93,5.86,4.57,5.16,7.51,10.49,13.85,16.18,18.02,0.51,0.45,0.33,0.19,0.1,0.05,0.06,0.11,0.18,0.29,0.39,0.49,240.72,215.33,170,104.41,62.19,31.53,38.54,69.65,106.02,161.24,184.27,211.43,21.86,23,19.07,15.89,13.45,8.01,8.01,10.32,11.53,14.45,18.55,20.08,55.89,30.98,37.27,41.34,74.1,72.46,75.23,30.66,36.1,23.67,76.64,63.91,1347.3,879.3,219.84,912.97,604.52,237.38,176.09,134.18,280.23,0.33,2.55,275.16,0
2008,VIC,53.24,57.63,50.44,64.74,75.42,78.95,78.69,81.02,66.94,58.52,59.13,61.7,4.13,4.31,3.73,3.57,3.02,4.12,3.98,3.94,4.09,3.76,4.32,4.31,18.57,15.82,12.94,8.45,5.8,4.52,5.06,6.86,10.88,13.85,15.47,17.05,0.53,0.43,0.32,0.17,0.09,0.06,0.06,0.1,0.2,0.31,0.38,0.47,243.03,186.22,180.44,90.47,50.64,40.23,50.05,50.52,104.5,153.43,151.86,197.93,22.29,19.43,20.14,13.84,11.25,10.58,8.01,8.33,11.77,14.93,16.33,17.6,40.39,27.73,22.03,20.8,37.41,33.14,73.34,61.61,32.01,14.59,71.08,73.73,1514,1995.3,323.65,1106.93,1789.23,295.19,210.47,334.69,307.31,1,7,254.85,0
2009,VIC,44.58,50.66,58.63,64.33,78.05,82,79.98,71.96,69.55,69.25,55.03,54.8,3.96,4.24,3.81,3.66,3.42,3.47,4.26,4.83,4.47,3.98,3.73,3.91,19.77,16.11,12.2,8.84,5.88,4.42,5.08,7.17,9.88,13.61,16.52,18.7,0.58,0.45,0.3,0.18,0.09,0.05,0.06,0.11,0.17,0.29,0.42,0.51,271.29,213.78,152.62,97.77,51.05,33.45,45.44,79.9,92.13,129.9,200.84,217.79,21.77,21.72,18.38,14.28,11.65,9.41,8.84,10.57,11.89,13.63,20.61,19.72,6.84,5.38,30.15,48.16,27.97,51,67.75,67.43,78.42,45.88,70.23,33.06,1533.6,1755.7,264.75,1136.15,1461.36,259.94,190.8,236.3,214.9,0.45,2.96,348.98,0
2010,VIC,49.2,60.41,62.2,70.52,77.06,82.89,84.91,81.92,79.05,72.83,69.47,67.78,4.13,4.02,3.54,3.57,3.18,3.43,3.14,4.45,3.81,3.78,3.72,4.05,18.56,15.64,12.18,8.39,5.84,4.57,4.98,6.61,9.58,13.36,14.82,17.68,0.53,0.43,0.3,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.37,0.47,243.85,182.64,135.59,82.89,52.53,35.95,32.97,54,74.44,116.06,134.17,159.74,21.58,22.4,19.1,15.89,11.46,8.79,7.98,8.51,10.37,13.91,16.87,18.42,32.84,64.45,67.55,52.58,49.71,50.65,48.89,116.79,69.36,101.39,91.44,107.1,1801.1,2994.9,196.94,976.32,1864.51,159.19,168.44,300.11,177.94,0.96,6,254.85,0
2011,VIC,65.02,69.38,70.03,74.3,79.3,81.91,81.62,80.32,71.56,68.72,63.56,57.16,3.65,3.74,3.88,3.35,3.35,4.11,4.3,3.34,4.24,3.77,3.83,4,17.58,14.52,11.56,8.76,5.57,4.79,4.97,7.09,10.36,12.94,15.47,18.84,0.52,0.41,0.3,0.18,0.09,0.06,0.06,0.11,0.18,0.27,0.39,0.5,187.17,130.58,111.8,74.76,41.79,35.46,44.34,53.68,93.75,115.83,153.95,200.16,21.39,20.52,17.63,14.19,10.48,9.29,8.56,10.69,11.95,14.47,18.07,18.89,119.3,106.87,59.03,42.3,46.95,47.64,70.6,62.63,48.8,52.54,82.43,46.59,1793.1,4412.4,222.29,801.62,1944.92,192.92,165.93,236.98,177.66,1.56,11.6,258.83,0
2012,VIC,51.81,57.69,68.06,68.92,76.17,82.83,85.22,78.55,70.96,64.39,55.95,51.8,4.76,3.9,4.15,3.44,3.66,3.86,3.52,4.52,4.22,3.81,3.74,4.28,18.41,15.08,11.97,8.89,5.94,4.41,4.96,6.89,10.35,13.83,16.54,18.33,0.52,0.42,0.3,0.18,0.09,0.05,0.06,0.1,0.18,0.3,0.41,0.5,230.55,171.08,121.27,92.63,56.38,33.68,30.9,52.51,83.45,134.29,174.05,225.67,21.74,20.88,17.48,15.06,10.9,8.5,8.49,9.1,11.85,13.66,17.84,19.57,32.77,54.74,101.29,30.29,48.85,79.66,65.71,66.16,44.28,34.65,30.45,31.5,1668.93,3943.32,197.3,831.25,2005.07,162.44,131.1,234.09,205.48,4.18,20.88,229.89,0
2013,VIC,46.08,54.92,55.7,64.83,73.89,84.78,83.32,80,75,66.25,62.52,53.5,4.33,3.87,4,3.36,3.65,3.22,3.91,4.72,4.25,4.52,4.16,4.02,18.88,15.68,12.61,8.68,5.78,4.62,4.96,7.04,9.74,13.49,16.04,17.91,0.53,0.42,0.32,0.17,0.09,0.06,0.07,0.11,0.19,0.31,0.4,0.49,262.09,195.1,177.59,96.57,49.56,30.73,54.02,85.43,95.83,135.93,155.55,211.89,21.56,22.33,20.1,15.27,11.54,9.48,9.3,10.36,13.49,13.69,15.65,19.51,8.34,43.9,31.55,20.82,45.02,96.07,74.35,88.15,60.68,57.9,37.29,40.24,1591.93,3422.87,279.81,854.15,1952.22,247.88,117.1,233.16,216.34,3,28,218.58,0
2014,VIC,46.69,50.39,60.83,71.69,76.72,85.07,83.73,79.17,72.55,61.62,52.94,55.3,4.45,4.18,3.45,3.53,3.55,4.08,4.27,3.09,3.82,4.02,4.02,3.92,18.69,15.99,12.04,8.05,5.67,4.3,4.93,7.49,10.74,14.12,16.77,18.01,0.54,0.45,0.29,0.17,0.09,0.05,0.06,0.11,0.19,0.31,0.42,0.48,258.95,197.64,146.84,83.33,47.92,30.85,37.9,55.8,95.71,161.59,193.86,220.07,22.59,21.89,18.98,15.16,12.99,10.01,8.58,8.97,12.19,15.48,17.57,19.37,21.47,21.14,39.04,81.38,48.66,86.18,55.09,31.75,45.39,29.37,41.45,45.75,1535.82,3395.9,299.88,918.67,2035.82,230.36,105.72,213.08,209.42,3.43,38.07,290.85,0
2015,VIC,58.06,55.67,57.34,72.38,76.34,82.08,79.35,78.02,70.09,55,56.61,44.26,4.51,3.87,3.95,3.54,4.38,3.24,4.1,3.71,3.6,3.71,4.13,4.08,16.94,15.82,12.64,7.95,5.93,4.46,4.86,6.9,10.59,14.39,16.16,19.07,0.48,0.43,0.31,0.17,0.09,0.06,0.06,0.11,0.2,0.33,0.41,0.52,214.55,198.35,157.89,74.55,66.73,34.85,30.08,43.46,85.66,170.62,179.85,251.3,20.83,22.39,17.23,13.8,11.39,8.7,7.6,8.94,11.27,17.63,17.71,21.48,64.87,27.89,17.23,61.59,48.7,42.26,62.06,49.79,34.06,18.74,44.53,27.72,1492.66,2631.31,271.58,916.08,1373.84,243.49,133.21,179.47,252.77,4.82,58.9,307.82,0
2016,VIC,54.42,55.6,58.67,60.47,70.44,81.53,79.92,74.71,77.33,63.94,60.44,51.95,3.9,3.78,3.41,3.58,4.52,3.93,4.46,3.85,3.87,5,4.16,4.14,16.9,16.07,11.93,8.8,5.78,4.44,4.83,7.13,9.26,13.76,16.6,17.67,0.48,0.45,0.3,0.19,0.09,0.06,0.07,0.11,0.17,0.3,0.42,0.5,222.69,179.57,171.61,118.68,51.55,19.4,24.5,42.91,63.58,96.83,141.57,189.46,21.74,21.32,20.61,16.13,12.77,8.99,9.09,9.63,11.25,12.99,15.9,19.8,64.83,17.45,38.02,21.13,88,80.86,102.65,65.34,131.47,84.43,41.81,42.2,1341.52,1814.87,247.55,844.47,1107.38,234.5,140.44,185.3,298.26,5.37,61.21,336.84,0
2017,VIC,50.5,54.95,58.97,67.63,74.53,80.2,74.31,74.3,64.25,61.82,58.14,56.91,4,4.14,3.75,3.57,3.3,2.66,4.15,4.27,4.87,3.93,3.67,3.92,18.2,15.65,12.68,8.48,5.95,4.83,5.4,7.21,10.46,14.06,16.76,17.14,0.54,0.43,0.32,0.18,0.09,0.06,0.06,0.1,0.18,0.31,0.41,0.47,210.36,157.8,175.06,76.84,30.17,27.78,28.68,40.67,68.5,113.96,166.31,186.92,21.72,20.41,21,15.04,11.07,8.34,8.4,8.87,11.48,14.84,19.05,19.9,37.45,32.78,36.18,80.21,45.31,13.57,54.97,85.34,48.99,48.52,50.42,81.65,1454.2,4664.83,202.75,946.13,3082.85,161.04,161.87,493,245.11,7.59,68.65,332.9,0
2018,VIC,48.69,51.37,53.78,59.11,71,78.53,71.83,69.86,64.41,59.36,58.92,55.34,4,4.17,4.22,3.42,4.17,3.53,4.62,4.71,3.93,3.92,4.11,3.87,18.21,15.98,12.93,9.31,5.54,4.68,5.21,7.21,10.91,13.63,15.28,17.43,0.53,0.44,0.33,0.19,0.09,0.06,0.06,0.1,0.19,0.29,0.37,0.48,212.64,185.84,166.81,89.11,43.62,22.89,42.03,45.86,75.56,125.53,151.06,208.9,22.96,21.68,18.88,16.7,11.74,8.68,8.68,9.2,10.82,15.19,16.86,21.5,34.1,11.54,19.57,16.23,61.01,55.65,50.09,62.08,22.96,30.31,50.42,71.59,1446.8,3682.09,236.74,843.68,2109.69,209.5,97.13,188.47,211.26,5.11,59.77,338.88,0
2019,VIC,45.94,51.33,55.6,59.28,73.1,79.03,77.61,73.17,67.14,57.18,55.47,46.58,3.94,3.99,3.83,3.65,4.04,3.66,4.22,4.28,3.98,3.93,4.71,4.43,18.47,16.19,12.26,8.72,5.91,4.74,5.17,7.1,10.34,14.14,16.18,18.85,0.53,0.44,0.3,0.18,0.09,0.05,0.06,0.09,0.17,0.3,0.41,0.52,228.29,185.08,156.15,91.71,51.8,34.63,38.9,56.84,84.08,130.13,165.12,208.9,24.15,21.18,19.43,15.72,11.9,9.28,9.27,8.65,11,14.78,15.84,20.68,11.3,22.05,28.1,11.52,88.03,67.52,59.12,54.78,43.4,22.82,47.15,11.61,1402.87,2276.6,345.57,892.81,1337.32,318.89,134.22,165.35,372.04,7.04,66.18,427.93,0
2020,VIC,51.96,63.67,64.53,72.08,76.33,80.42,82.88,78.77,70.21,71.66,57.53,56.39,4.07,4.15,4.05,3.99,3.98,3.34,3.21,4.11,4.28,4.01,4.16,4.47,16.76,15,12.02,8.02,6.03,4.92,5.26,7.12,10.38,12.41,16.96,17.7,0.47,0.41,0.3,0.16,0.09,0.06,0.07,0.1,0.18,0.28,0.44,0.5,228.29,185.08,156.15,91.71,51.8,34.63,38.9,56.84,84.08,130.13,165.12,208.9,21.15,20.67,18.1,14.11,10.43,8.68,8.16,9.06,12.26,14.58,19.14,18.22,49.04,52.41,42.54,104.66,51.61,44.06,46.07,70.51,50.61,88.1,34.51,36.21,1428.86,3714.32,315.82,1101.69,3116.61,248.65,108.28,197.03,332.08,5.15,53.63,453.35,1
2021,VIC,56.45,57.58,64.5,65.78,73.13,82.92,79.21,76.1,70.5,68.16,66.14,56.11,4.32,4.14,3.67,3.46,3.84,3.91,4.33,4.02,4.24,3.95,3.99,4.07,17.77,15.82,12.07,8.88,5.82,4.25,4.98,7.35,10.31,13.68,15.41,18.98,0.52,0.44,0.31,0.19,0.09,0.05,0.05,0.11,0.19,0.29,0.38,0.51,228.29,185.08,156.15,91.71,51.8,34.63,38.9,56.84,84.08,130.13,165.12,208.9,20.79,19.88,17.56,14.36,11.53,9.75,8.58,10.04,11.92,13.22,15.72,19.13,73.35,26.82,47.66,19.03,57.08,88.1,75.44,53.94,73.48,72.35,79.62,30.96,1500,4768,269.42,870,2784,237.07,135,364.5,245.08,4.1,40.81,384.49,1
