Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_Price,Oats_Area,Oats_Production,Oats_Production,Corn_Area,Corn_Production, Corn_Price ,Covid
1990,WA,53.46,51.52,52.35,52.38,58.55,59.13,62.1,61.35,52.16,53.11,48.17,49.33,5.72,4.96,5.14,4.68,4.46,4.64,4.94,4.72,4.7,5.29,5.43,5.59,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,308.36,257.08,291.34,222.34,171.69,127.86,131.94,160.65,232.78,297.89,356.29,383.49,28.16,26.83,27.8,23.52,20.01,15.18,15.03,16.62,19.94,23.39,27.49,28.37,84.22,32.74,23.03,15.02,17.74,12.66,19.65,20.99,6,13.27,10.24,21.93,3476.4,4800,166.42,421.42,628.06,146.49,339.9,529.4,88.22,0.7,4.8,187.5,0
1991,WA,49.8,50.78,53.75,51.66,53.67,63.34,61.58,57.03,55.92,52,52.05,51.13,5.86,5.95,4.63,4.6,4.43,4.45,4.56,4.89,4.76,4.99,5.78,5.49,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,376.23,323.13,296.87,230.58,174.8,106.81,124.6,166.78,215.69,312.6,320.24,361.71,29.6,29.5,27.21,24.26,19.84,17.21,15.95,17.09,19.98,25.14,24.93,27.95,62.04,66.64,13.18,12.86,18.73,43.96,27.61,7.15,6.98,6.06,18.43,21.75,3632.2,5449.1,103.77,497.69,742.25,115.74,324.1,496.8,75.09,0.9,5.4,203.71,0
1992,WA,47.85,54.44,56.33,60.55,62.41,66.35,59.11,64.75,63.96,55.19,51.33,48.7,5.35,5.41,4.91,4.23,4.09,4.58,4.57,5.08,4.82,4.96,5.82,6,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,359.84,312.18,279.11,185.8,131.14,101.05,129.49,148.86,185.59,279.44,329.93,366.06,28.4,28.5,27.61,23.81,18.99,16.74,16.15,16.27,18.66,22.39,24.53,27.29,31.05,36.59,55.85,60.78,34.51,39.3,7.4,40.16,18.58,13.74,13.27,11.03,3229.9,4736,170.85,554.5,899.64,124.39,367.2,614.3,96.37,0.8,4.9,224.49,0
1993,WA,49.98,55.25,56.47,54.6,61.22,66.83,63.99,60.42,58.2,52.67,51.39,49.62,5.54,6.18,4.61,4.54,4.41,4.88,4.93,4.78,4.79,5.4,5.09,5.86,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,376.74,271.39,290.48,228.82,133.48,103.44,120.3,156.95,202.64,283.31,309.02,341.87,29.55,27.23,26.72,24.64,18.97,15.29,14.73,16.42,19.25,22.12,26.36,27.36,50.07,109,16.77,12.88,42.74,39.62,13.57,26.16,10.56,7.09,19.98,52.86,3669.3,5978.9,151.99,611.08,1060.86,132.73,331.6,577.9,119.75,1.7,12.9,193.8,0
1994,WA,49.83,54.01,47.66,46.33,49.37,55.81,54.53,51.56,51.77,50.58,47.72,48,5.49,5.65,4.68,4.58,4.61,4.46,4.42,4.76,4.71,5.05,5.23,5.35,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,381.13,280.22,297.59,236.72,187.23,121.81,148.52,177.17,235.03,303.78,334.11,355.18,29.26,27.22,26.74,23.46,19.87,15.61,15.72,17.1,20.81,24.03,26.61,28.52,24.97,94.34,19.74,1.73,12.99,14.67,7.94,12.93,5.43,5.66,10.07,56.64,3852.4,6689.3,144.98,799.27,1381.4,113.3,268.5,511.11,85.51,1.64,14.61,136.9,0
1995,WA,53.2,55.23,52.58,57.1,56.28,61.26,64,56.91,60.55,51.06,49.94,53.11,5.5,5.5,4.68,4.32,4.88,5.16,5.03,4.98,4.95,5.28,5.41,5.66,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,350.95,242.7,250.45,182.37,147.48,125.46,122.04,181.52,213.89,300.95,320.19,327.78,29.12,26.98,25.39,22.68,18.07,15.6,15.71,17.51,21.1,23.41,25.98,27.28,59.87,164.73,42.33,42.03,14.76,26.13,28.94,5.14,10.28,8.37,16.26,64,3848.3,5437.9,211.1,579.13,914.92,172.92,256.47,424.77,134.43,1.63,11.38,175.78,0
1996,WA,48.38,48.89,52.5,53.51,50.86,63.33,63.02,62.02,56.69,52.36,48.06,50.61,5.75,5.06,5.54,4.7,4.58,4.32,5.29,4.6,5.27,5.05,5.61,5.92,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,390.99,346.87,307.33,209.12,178.14,111.01,122.85,161.89,232.01,300.66,349.61,351.85,29.19,29.45,26.77,23.43,19.56,18.01,16.45,17.28,20.34,24.35,26.84,27.59,17.75,37.98,65.83,42.88,7.22,38.86,43.2,15.78,13.26,13.84,14,58.81,3892.4,6826.7,237.15,744.53,1322.82,172.97,300.42,584.79,134.76,0.54,0.52,192.31,0
1997,WA,51.03,59.58,54.08,54.5,67.2,62.66,59.05,62.99,62.72,53.83,50.74,50.39,5.91,5.29,4.95,4.03,4.66,4.69,4.93,4.25,4.42,5.06,5.02,5.53,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,339.71,240.7,298.58,204.75,119.29,117.29,128.86,148.79,196,285.2,315.62,362.22,28.35,28.44,26.54,23.8,18.87,15.98,14.36,16.6,20.46,23.84,26.11,28.89,104.11,109.87,18.62,19.96,59.02,13.45,17.35,27.44,16,11.42,13.4,37.74,4263.7,7516,183.31,909.31,1635.35,150.68,316.31,546.06,117.03,0.65,5.13,214.72,0
1998,WA,49.38,50,51.58,56.75,56.89,62.2,69.44,62.83,58.41,55.02,52.72,54.11,5.93,5.31,4.52,4.45,4.24,5.12,4.63,4.29,5.1,5.12,5.28,5.4,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,379.56,332.17,303.75,203.92,163.81,118.46,106.39,156.6,215.25,291.72,316.89,308.62,29.94,30.18,28.1,23.96,21.53,16.52,14.78,18.41,20.3,24.25,26.94,27.56,42.39,34.6,34.92,35.8,23.96,45.54,46.33,26.06,11.6,16.95,37.34,89.62,4204.9,7724.5,235.98,1036.01,1926.28,202.55,304.91,596.08,177.95,0.38,3.15,272.99,0
1999,WA,58.54,59.22,60.7,55.34,57.75,61.45,61.16,60.38,57.08,54.86,51.64,54.39,5.45,5.22,4.84,4.59,4.26,4.51,4.45,4.69,4.86,5.07,5.24,5.58,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,334.65,239.29,244.92,192.1,149.05,116.83,128.11,164.29,221.23,264.2,270.2,304.13,29.53,27.24,26.65,22.37,20.02,16.28,15.52,17.36,20.38,23,24.96,27.14,63.32,118.05,87.76,31.27,34.61,18.14,14.87,10.95,10.66,22.94,32.55,71.54,4515.3,8170.1,235.98,811.4,1468.63,202.55,228.38,463.36,177.95,0.47,3.56,272.99,0
2000,WA,57.77,62.96,70.77,70.85,67.21,64.77,63.89,59.59,55.09,52.06,52.08,49.64,5.14,5.5,5,4.78,4.87,4.92,4.56,4.8,4.48,5.17,5.6,6.25,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,278.59,240.61,193.96,150.23,146.42,123.84,118.23,148.44,213.52,263.13,302.31,346.98,26.97,27.46,25.31,22.23,16.98,15.1,16.04,16.04,21.04,23.08,26.05,28.45,117.2,126.02,183.77,57.04,7.59,8.36,15.53,13.92,5.3,15.25,18.87,48.01,4556.2,9004.1,235.98,550.14,1117.28,202.55,199.44,438.67,177.95,0.05,0.45,272.99,0
2001,WA,54.51,57.42,61.05,55.36,58.61,61.17,64.24,60.1,58.2,56.35,53.39,59.36,5.13,5.79,5.4,4.51,4.29,4.21,4.36,4.43,4.84,5.13,5.44,5.52,18.25,17.02,14.73,12.66,9.47,8.37,8.36,11.24,13.73,16.29,18.4,19.12,0.56,0.53,0.43,0.32,0.21,0.17,0.17,0.25,0.32,0.41,0.5,0.55,317.45,235.55,237.03,209.81,144.53,120.22,119.52,166.24,204.92,242.46,297.83,307.12,29.39,27,24.9,23.34,18.99,15.88,15.52,16.79,19.96,21.59,25.54,26.35,71.3,137.72,81.5,9.25,21.21,14.17,29.12,11.64,11.42,21.26,24.59,53.15,4460.3,5814.4,235.98,982.93,1358.4,202.55,248.26,317,177.95,0.35,0.28,272.99,0
2002,WA,52.92,56.94,53.72,56.42,52.78,53.19,52.56,52.89,53.84,50.89,48.61,48.5,4.92,5.89,4.45,4.16,4.24,4.98,4.72,4.59,5.14,5.18,5.3,5.25,19.47,16.49,15.84,12.28,9.9,8.43,9.08,11.35,14.5,17.31,18.45,18.86,0.58,0.5,0.45,0.32,0.23,0.17,0.19,0.26,0.35,0.45,0.51,0.54,325.6,259.12,275.96,220.09,180.77,140.7,148.47,179.58,233.74,321.53,329.02,352.18,28.3,26.47,26.97,24.71,21.35,16.16,15.93,16.96,20.09,24.55,27.18,28.65,39.46,123.36,20.18,13.5,10.76,13.88,9.92,8.56,5.52,5.13,21.97,38.13,4349.9,7759.9,238.37,1087.54,2262.84,180.66,286.63,556.89,160.54,1.01,0.03,272.99,0
2003,WA,49.25,53.81,51.69,54.84,54.19,58.33,58.56,62.08,59.23,54.25,53.36,54.23,5.73,5.41,4.75,4.39,4.64,4.78,4.52,4.67,5.05,5.3,5.28,5.84,19.53,17.29,15.91,12.36,9.81,8.53,9.12,10.81,14.05,17.22,18.39,19.51,0.59,0.52,0.46,0.32,0.22,0.17,0.18,0.23,0.34,0.44,0.5,0.57,375.9,287.27,291.42,205.3,178.77,133.53,143.28,164.49,220.25,307.15,314.49,350.23,29.16,28.95,26.76,24.07,20.25,16.3,15.97,16.79,20.21,22.81,26.59,28.33,60.56,73.22,41.87,29.98,14.89,20.02,11.35,21.58,13.61,6.24,31.79,47.09,4457.7,4046.9,232.31,1140.06,1349.03,213.05,313.86,476.73,192.78,0.05,0.41,243.91,0
2004,WA,55.11,58.6,56.6,56.35,64.24,65.85,63.09,59.99,56.49,54.45,48.3,47.19,5.2,5.21,5.5,4.04,4.54,4.67,4.32,4.9,4.54,4.89,5.56,5.43,19.39,16.91,15.1,12.5,9.08,8.39,8.8,11.5,14.15,17,18.54,20.32,0.59,0.52,0.44,0.33,0.21,0.19,0.19,0.27,0.35,0.46,0.51,0.59,327.06,259.7,260.79,198.7,142.58,113.75,120.37,166.28,213.52,300.49,317.77,381.14,29.08,28.33,26.03,23.71,18.55,16.79,15.41,15.95,19.28,25.31,26.16,29.03,53.95,111.51,79.95,26.11,36.9,18.89,26.35,10.76,8.33,8.48,19.4,25.1,4917,11070,195.71,1278.02,3169.88,144.36,343.9,751.54,118.7,0.05,0.28,367.65,0
2005,WA,45.91,49.1,50.3,52.55,53.64,63.21,61.86,58.46,59.49,56.19,52.02,54.53,5.82,5.23,4.47,4.3,4.29,4.78,4.27,4.67,5.06,5.05,5.38,5.36,20.2,18.15,14.66,12.44,9.41,8.01,9.04,10.7,14.07,16.79,19.06,19.85,0.61,0.55,0.43,0.33,0.21,0.15,0.18,0.23,0.33,0.43,0.52,0.57,406.91,331.29,300.29,249.29,176.67,129.05,137.67,168.92,212.17,282.78,324.38,344.16,29.69,29.73,28.62,25.86,21.44,15.99,15.82,16.68,20.17,23.15,26.5,27.58,22.23,23.2,37.07,12.11,28.34,33.82,28.13,25.02,10.59,10.99,15.95,49.81,5118.3,8618.9,180.75,1313.39,2489.2,163.83,243.03,460.3,107.33,0.21,1.45,414.37,0
2006,WA,61.24,57.2,56.46,59.73,54.52,53.86,60.09,54.2,54.5,53.06,49.99,46.35,5.95,4.75,5.08,4.63,4.43,4.47,4.46,4.4,4.78,4.95,4.99,5.24,17.77,17.84,15.19,12.44,9.84,8.85,8.91,11.54,14.25,16.46,18.62,19.5,0.55,0.55,0.44,0.33,0.23,0.19,0.19,0.27,0.36,0.45,0.53,0.58,293.2,253.67,269.69,179.96,157.74,130.91,129.82,188.38,213.91,284.22,323.54,350.73,27.64,27.14,26.54,21.97,18.51,14.81,14.53,18.6,20.99,25,28.11,28.16,146.9,74.91,90.61,35.69,6.21,4.3,15.5,8.39,12.91,19.82,16.99,38.08,4752.7,9088.1,194.55,1128.98,2399.77,154.9,270.6,591.35,151.02,0.51,1.71,409.84,0
2007,WA,57.1,52.78,57.11,57.22,61.47,58.19,57.75,54.42,53,51.31,47.27,53.22,5.62,5.18,5.65,4.14,4.29,4.79,4.73,4.61,4.83,5.22,5.09,5.45,18.98,18.07,14.48,12.48,9.65,8.36,8.95,11.44,14.46,16.84,19.33,19.03,0.59,0.57,0.43,0.33,0.22,0.16,0.18,0.25,0.35,0.44,0.52,0.55,351.06,331.99,274.27,200.75,156.69,127.78,139.65,181.19,233.83,308.15,339.55,338.62,28.64,30.91,26.09,23.81,19.68,15.09,16.49,17.27,20.89,23.94,27.26,27.25,72.84,16.51,120.49,24.62,11.92,16.92,19.28,7.77,6.37,8.27,13.1,51.98,4037,5134.3,219.41,1082.96,1808.41,228.77,299.02,441.03,206.11,0.73,1.25,402.26,0
2008,WA,51.36,55.26,55.41,52.84,53.46,58.59,58.52,52.51,55.58,52.28,55.51,57.44,5.65,5.65,4.73,4.12,3.91,4.82,4.77,4.79,4.87,5.09,5.51,5.32,19.57,16.77,15.15,12.65,10.09,8.41,8.98,11.2,14.1,16.65,18,19.37,0.6,0.52,0.45,0.33,0.23,0.18,0.19,0.25,0.35,0.44,0.51,0.58,391.1,274,286.52,218.81,177.86,134.94,144.74,183,229.21,310.61,284.31,323.98,30.42,27.71,27.46,23.62,20.02,16.36,15.45,15.89,20.87,24.65,24.91,27.65,35.23,98.07,40.32,19.91,5.61,21.22,21.2,8.76,11.57,13.08,43.76,66.61,4258.2,5820.2,391.99,1380.94,2719.38,300.74,396.82,839.52,238.25,2,6,272.99,0
2009,WA,53.22,54.03,54.19,53.92,53.24,63.3,62.38,61.95,54.99,50.85,45.42,46.74,5.42,5.33,4.82,4.22,4.5,4.73,4.62,4.42,5.16,5.04,5.39,5.73,19.33,17.54,15.89,12.43,9.7,8.36,8.9,11.31,14.23,17.1,18.88,19.68,0.6,0.55,0.46,0.32,0.21,0.17,0.18,0.25,0.34,0.44,0.52,0.58,371.02,282.58,275.05,219.22,169.76,123.86,133.39,164.44,223.13,297.25,297.89,364.86,29.89,28.92,26.91,24.09,18.85,16.19,15.74,18.31,19.85,24.32,27.3,29.05,77.63,59.14,32.27,11.2,9.67,24.36,17.99,10.28,10.71,5.56,20.68,44.77,4541.9,8274,284.75,1558.81,3007.45,209.73,294.94,568.28,177.31,0.29,2.12,329.66,0
2010,WA,51.82,52.91,51.94,56.58,59.01,60.36,65.24,60.16,57.86,51.93,47.11,51.45,5.6,5.28,4.98,4.42,4.53,4.33,4.76,4.5,4.93,5.1,5.22,5.6,19.4,18.27,15.69,12.17,9.2,8.29,8.69,10.98,14,16.95,19.07,18.74,0.6,0.55,0.45,0.31,0.2,0.17,0.17,0.24,0.34,0.44,0.52,0.55,331.31,305.08,292.06,217.44,154.13,129.73,126.36,155.79,202.74,281.79,317.82,319.2,30.06,30.1,27.91,25.24,19.65,16.55,15.54,16.73,18.99,23.24,26.84,28.11,46.15,27.69,26.4,19.91,31.49,11.08,31.26,17.37,25.17,24.42,14.44,57.72,5005.9,8114.1,206.62,1419.76,2553.73,158.32,263.28,493.26,128.94,1,4,272.99,0
2011,WA,54.82,64.03,62.64,58.1,61.47,62.75,65.82,58.61,53.26,59.64,53.28,54.58,5.26,5.31,5.24,4.83,4.62,4.58,4.19,4.31,4.96,4.89,5.11,5.28,17.84,16.16,15.03,12.59,9.46,8.33,8.66,11.42,14.23,15.85,19.03,19.16,0.55,0.5,0.44,0.33,0.21,0.16,0.17,0.25,0.33,0.4,0.51,0.56,311,213.19,223.56,192.12,140.4,108.98,118.62,166.04,212.53,253.69,283.62,307.13,29.79,27.48,25.71,23.38,18.16,15.45,16.16,17.65,19.35,23.55,25.59,28.16,96.23,150.35,99.87,39.19,15.68,22.1,26.12,12.87,8.04,36.02,42.51,47.14,4639.5,5004.6,260.96,1101.08,1548.59,194.76,254.86,283.3,157.44,0.24,1.63,245.86,0
2012,WA,57.55,56.08,54.33,56.61,55.18,59.19,55.34,55.45,51.98,48.67,50.3,50.24,5.15,5,5.04,4.3,4.63,4.97,4.62,4.33,4.92,5.02,5.41,4.87,17.52,17.56,15.05,12.35,10.01,8.16,9.32,11.52,14.38,17.21,18.2,18.97,0.54,0.54,0.43,0.31,0.22,0.16,0.18,0.25,0.34,0.45,0.5,0.55,280.96,295.99,237.61,197.43,172.58,126.15,140.73,171.57,236.49,299.95,300.8,297.61,28.04,28.21,25.75,23.58,18.92,15.81,14.45,17.72,21.07,24.9,26.86,28.8,106.52,40.48,79.69,9.1,5.88,21.56,6.41,6.88,7.45,7.31,35.5,56.92,5155.77,11045.11,240.36,1246.32,2761.12,235.49,287.55,661.97,194.28,0.31,2.3,261.79,0
2013,WA,48.61,49.47,61.64,55.86,62.82,70.6,63.37,58.97,57.99,50.83,50.67,48.8,5.55,5.33,4.63,3.98,4.47,4.34,4.56,4.53,5.02,4.89,5.32,5.37,18.98,17.32,14.84,12.26,9.17,7.63,9.1,11.25,14.27,17.41,18.83,19.41,0.58,0.51,0.43,0.32,0.21,0.17,0.19,0.26,0.36,0.47,0.53,0.57,368.02,302.96,234.23,203.34,147.05,96.64,128.58,170.67,225.34,301.11,305.9,311.63,29.98,29.14,27.05,25.38,19.83,16.13,15.71,18.15,21.11,24.94,27.05,28.36,56.75,66.31,54.37,14.45,41.47,37.95,16.7,10.53,16.03,9.62,24.53,53.34,4909.21,6744.06,303.55,1215.05,2251.68,262.38,258.18,502.29,233.12,1,3,236.67,0
2014,WA,54.3,53.36,51.05,57.1,64.38,57.7,62.89,52.23,54.86,53.49,53,52.46,6.04,5.66,4.37,4.16,3.97,5.12,4.39,4.51,4.87,4.95,5.03,5.23,18.93,17.76,15.63,12.42,9.25,8.51,8.79,11.49,14.17,16.79,18.03,20.09,0.59,0.55,0.45,0.32,0.2,0.17,0.18,0.25,0.34,0.43,0.49,0.58,317.3,262.82,281.23,184.84,140.35,131.25,133.48,185.03,237.12,311.87,308.04,352.48,28.88,28.01,27.87,23.88,20.36,15.76,15.28,17.74,21.69,25.6,27.14,28.72,116.24,77.92,15.12,32.03,33.1,7.31,20.75,6.59,10.06,12.98,31.08,37.67,5114.9,9976.95,306.44,1257.91,3555.67,260.3,259.82,661.41,186.74,0.51,4.93,257.98,0
2015,WA,51.89,51.49,56.95,55.83,55.97,60.23,60.61,60.75,51.41,50.89,49.74,48.99,5.63,4.98,4.65,4.74,4.55,4.44,4.47,4.59,4.61,4.68,5.31,5.72,18.79,17.89,14.89,11.48,9.5,8.46,8.62,11.21,14.89,16.82,18.71,19.97,0.58,0.54,0.42,0.3,0.22,0.18,0.18,0.25,0.37,0.44,0.52,0.58,327.15,328.61,262.48,177.41,148.45,122.96,129.72,165.67,230.35,296.49,310.76,393.15,29.37,30.7,26.88,22.36,18.24,17.35,15.93,17.62,20.4,26.42,27.87,28.82,71.93,32.41,72.33,27.32,24.29,14.2,17.76,16.77,3.38,9.91,24.48,37.94,5038.14,8824.41,287.56,1308.46,3192.46,258.39,233.23,557.6,222.72,0.56,6.62,257.51,0
2016,WA,54,47.67,56.1,52.06,61.05,66.74,62.91,59.86,57.08,52.28,47.37,52.28,4.98,5.22,4.74,4.38,4.34,4.4,4.73,4.7,4.96,5.23,5.39,5.98,17.93,18.95,15.35,12.16,9.29,8.17,8.98,11.24,14.6,17.31,19.76,18.91,0.55,0.58,0.45,0.32,0.21,0.18,0.2,0.26,0.36,0.47,0.56,0.57,316.03,325.95,268.86,220.11,153.99,105.57,120.78,164.26,201.81,289.28,341.45,331.92,28.92,28.89,28.18,24.92,20.08,16.65,15.77,16.83,19.15,23.43,27.06,27.98,69.41,35.96,48.75,11.35,38.18,37.63,31.38,19.07,7.52,9.23,14.94,87.72,4615.77,8510.58,272.1,1383.94,3247.94,234.22,299.76,601.41,291.6,0.32,4.18,280.2,0
2017,WA,54.25,60.2,56.38,54.22,54.09,53.19,58.53,57.91,54.14,52.01,50.1,49.27,5.63,5.16,4.63,4.32,4.16,4.58,4.53,4.68,4.84,5.27,5.35,5.39,18.98,17.23,15.43,12.59,10,8.58,9.19,11.55,13.98,17.27,18.47,19.41,0.6,0.53,0.45,0.33,0.22,0.17,0.18,0.26,0.32,0.44,0.5,0.57,303.86,234.99,268.26,182,150.11,130.55,141.66,175.6,235.46,277.24,310.64,364.91,28.36,27.59,27.36,23.3,19.4,16.49,16.37,17.84,20.64,24.45,27.07,28.68,130.94,111.22,67.23,23.18,6.8,7.79,10.76,17.34,11.57,17.95,21.1,46.67,4677.78,9644.89,234.6,1693.71,4119.84,188.8,402.89,1035.76,190.39,1.71,16.53,305.88,0
2018,WA,53.95,59.02,53.55,54.27,46.28,54.69,56.24,56.92,54.52,57.17,52.3,48.89,6.06,5.39,5.03,4.12,5.23,4.61,4.69,5.19,4.8,4.95,5.56,5.62,18.32,17.39,15.67,12.78,10.04,8.45,9.24,11.4,14.55,16.56,18.72,20,0.56,0.54,0.46,0.33,0.22,0.17,0.18,0.25,0.35,0.42,0.52,0.6,309.46,224.81,284.94,209.24,186.72,130.5,141.34,166.15,224.22,274.57,301.02,342.9,28.85,27.8,28.03,25.33,19.42,16.19,16.41,16.05,20.46,24.52,26.39,29.44,122.24,90.97,21.05,7.34,6.97,24.56,13.18,15.74,2.96,17.75,25.75,22.34,4056.58,7698.56,258.23,1531.08,3774.56,237.83,306.39,697.24,187.27,1.54,18.39,300.39,0
2019,WA,48.85,49.18,50.58,48.98,47.55,53.33,56.97,54.2,50.6,50.22,44.1,44.23,5.72,5.44,4.91,4.82,4.74,5.13,4.37,4.79,4.54,5,5.33,5.14,19.58,18.89,15.04,12.42,10.21,8.59,9.24,11.56,14.74,17.5,19.66,19.93,0.6,0.57,0.44,0.32,0.23,0.17,0.18,0.23,0.35,0.45,0.54,0.59,341.42,279.17,271.68,204.58,157.99,121.07,130.33,167.43,219.12,290.47,314.94,342.9,30.22,30.26,28.91,24.53,19.42,16.24,16.64,17.37,21.34,25.97,27.67,31.3,34.63,20.1,29.82,16.96,4.29,22.37,7.69,10.5,3.22,5.14,5.49,17.33,4369.2,9979.22,317.24,1897.37,4798.01,338.66,315.93,687.05,332.24,2.18,25.45,397.54,0
2020,WA,53.47,53.74,51.49,52.47,49.49,51.38,53.67,58.25,54.21,51.1,51.38,50.49,5.73,5.35,4.78,4.38,5.1,4.65,4.68,4.78,4.73,5.25,5.21,5.77,18.74,17.55,15.63,12.36,9.48,8.9,9.37,11.35,14.69,17.39,18.2,19.04,0.58,0.53,0.45,0.33,0.22,0.18,0.19,0.25,0.36,0.46,0.52,0.58,341.42,279.17,271.68,204.58,157.99,121.07,130.33,167.43,219.12,290.47,314.94,342.9,29.07,29.27,27.83,25.69,18.79,17.42,16.56,18.23,22.08,24.32,27.49,27.75,90.19,58.8,33.92,7.21,20.69,9.15,9.28,16.21,6.61,9.53,24.17,88.1,4132.71,5842.19,322.87,1906.86,3996.15,300.26,298.52,643.17,345.6,4.99,56.04,412.72,1
2021,WA,48.24,53.06,54.47,48.7,54.5,61.7,62.39,55.61,50.22,51.16,51.78,47.89,5.8,5.55,4.62,4.75,4.66,4.68,5.02,4.79,5.1,5.4,5.19,5.69,19.16,17.56,15.05,12.65,9.46,8.34,8.97,11.62,14.6,17.07,19.13,20.44,0.6,0.55,0.45,0.34,0.22,0.16,0.17,0.25,0.35,0.44,0.53,0.59,341.42,279.17,271.68,204.58,157.99,121.07,130.33,167.43,219.12,290.47,314.94,342.9,28.85,27.39,26.68,24.04,19.94,15.54,16.67,17.73,20.3,23.18,25.08,29.6,59.03,82.5,60.95,12.55,30.07,18.52,22.94,7.74,5.17,13.76,34.76,22.91,4750,9500,289.45,1600,4400,276.79,390,650,309.09,3.17,25.12,171.22,1
