Year,VIC_Jan_humidity,VIC_Feb_humidity,VIC_Mar_humidity,VIC_Apr_humidity,VIC_May_humidity,VIC_Jun_humidity,VIC_Jul_humidity,VIC_Aug_humidity,VIC_Sep_humidity,VIC_Oct_humidity,VIC_Nov_humidity,VIC_Dec_humidity,VIC_Jan_wind,VIC_Feb_wind,VIC_Mar_wind,VIC_Apr_wind,VIC_May_wind,VIC_Jun_wind,VIC_Jul_wind,VIC_Aug_wind,VIC_Sep_wind,VIC_Oct_wind,VIC_Nov_wind,VIC_Dec_wind,VIC_Jan_uva,VIC_Feb_uva,VIC_Mar_uva,VIC_Apr_uva,VIC_May_uva,VIC_Jun_uva,VIC_Jul_uva,VIC_Aug_uva,VIC_Sep_uva,VIC_Oct_uva,VIC_Nov_uva,VIC_Dec_uva,VIC_Jan_uvb,VIC_Feb_uvb,VIC_Mar_uvb,VIC_Apr_uvb,VIC_May_uvb,VIC_Jun_uvb,VIC_Jul_uvb,VIC_Aug_uvb,VIC_Sep_uvb,VIC_Oct_uvb,VIC_Nov_uvb,VIC_Dec_uvb,VIC_Jan_eva,VIC_Feb_eva,VIC_Mar_eva,VIC_Apr_eva,VIC_May_eva,VIC_Jun_eva,VIC_Jul_eva,VIC_Aug_eva,VIC_Sep_eva,VIC_Oct_eva,VIC_Nov_eva,VIC_Dec_eva,VIC_Jan_temp,VIC_Feb_temp,VIC_Mar_temp,VIC_Apr_temp,VIC_May_temp,VIC_Jun_temp,VIC_Jul_temp,VIC_Aug_temp,VIC_Sep_temp,VIC_Oct_temp,VIC_Nov_temp,VIC_Dec_temp,VIC_Jan_rain,VIC_Feb_rain,VIC_Mar_rain,VIC_Apr_rain,VIC_May_rain,VIC_Jun_rain,VIC_Jul_rain,VIC_Aug_rain,VIC_Sep_rain,VIC_Oct_rain,VIC_Nov_rain,VIC_Dec_rain,VIC_Wheat_Area,VIC_Wheat_Production,VIC_wheat_price,VIC_Barley_Area,VIC_Barley_Production,VIC_Barley_Price,VIC_Oats_Area,VIC_Oats_Production,VIC_Oats_Price,VIC_Rice_Area,VIC_Rice_Production,VIC_Rice_Price,VIC_Corn (maize)_Area,VIC_Corn (maize)_Production, VIC_Corn (maize)_Price ,Covid
1990,52.19,71,61.19,80.19,84,89.5,90.31,90.38,83.5,80.44,70.31,59.81,4.06,2.5,2.62,3.09,3.15,3.25,3.22,3.13,3.45,2.66,3.29,4.13,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,243.97,160.08,169.04,94.08,58.66,31.8,39.13,50.52,82.3,125.45,176.59,220.21,20.89,19.75,19.24,15.46,11.51,8.75,8.91,8.7,11.49,14.09,16.96,19.76,10.27,61.36,26.67,76.13,34.43,61.97,93.68,95.59,55.01,65.46,31.58,26.4,952.3,1961.4,159.74,388.7,696,146.84,188.6,330.4,90.2,0.85,5.35,297.68,0.3,1,100,0
1991,61.69,55.62,59.56,68.06,76.69,89.56,91,85.38,83.12,73.5,62.38,66.62,2.8,3.12,3.1,4.01,2.72,3.68,3.22,4.01,3.46,3.62,3.85,3.23,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,227.22,205.94,161.96,90.9,47.49,35.18,34.05,56.5,72.62,131.79,166.1,183.01,21.21,20.37,17.81,13.99,11.29,11.15,8.44,8.88,10.92,14.86,15.44,17.87,89.24,4.7,23.42,29.94,13.36,133.92,84.27,101.94,81.98,15.88,30.3,55.17,911.5,1493,97.06,463,650.6,109.9,177.1,301.1,74.07,0.85,5.35,297.68,0.3,2,150,0
1992,64.06,63.75,67.75,72.12,84.44,89.19,85.5,84.75,86.56,81.25,78.56,79.94,3.2,2.93,2.59,2.95,3.48,3.23,3.91,4.12,3.15,3.53,3.85,2.62,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,199.57,183.01,143.28,91.01,39.86,28.31,39.49,50.16,59.25,100.83,121.7,142.44,18.19,19.85,19.45,14.97,11.08,8.77,8.36,8.21,9.24,13.83,14.04,18.78,32.78,27.08,31.65,58.66,71.14,64.45,46.34,96.68,124.3,100.72,91.12,104.4,664.1,1150.4,115.1,533.9,897.9,118.62,182.8,300.4,108.86,0.85,5.35,297.68,0.4,3,166.67,0
1993,70.69,69.44,75.56,68.19,80.31,86.62,86.62,81,84.12,78.56,73,68,2.54,3.29,2.59,3.54,3.12,3.59,3.16,4.11,3.05,3.56,3.64,3.25,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,178.62,165.95,122.95,94.34,49.13,35.36,39.11,61.31,70.63,123.26,144.17,178.67,20.61,20.34,17.71,15.44,11.43,8.79,9.03,10.5,11.59,12.89,15.28,17.56,71.89,42.5,48.15,9.15,34.27,44.75,88.12,56.72,124.41,96.49,55.17,83.37,821.2,2015.1,132.75,551.5,1116.3,118.07,222.9,403.8,77.77,0.85,5.35,297.68,0.4,2.8,142.86,0
1994,59.12,73.25,73.5,69.5,75.88,86.19,81.44,77.75,73.06,67.75,63.88,52.19,4.08,2.86,2.42,4.01,4.43,2.95,3.49,4.41,3.76,3.3,4.3,3.31,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,210.01,152.27,130.21,91.91,67.63,36.52,42.17,56.09,80.25,135.35,172.98,250.68,18.73,20.82,16.94,14.61,11.59,9.44,8.49,8.09,10.03,13.84,15.84,20.59,31.25,82.23,21.22,27.87,40.64,65.08,29.81,31.43,42.18,44.41,53.37,20.35,779.9,2021.9,128.94,639.5,1386.23,90.83,185.84,362.01,63.82,0.85,5.35,297.68,0.24,1.68,179.22,0
1995,66.69,61.19,65,74.75,86.31,88.12,90.19,78.62,80.06,77.81,76.5,67.56,3.17,3.34,3.27,2.71,3.13,3.03,2.68,3.69,2.86,3.5,3.61,3.08,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,215.96,188.97,164.2,81.93,45.24,34.98,35.97,61.84,75.27,111.74,158.48,192.6,21.31,20.84,16.85,12.32,11.13,9.11,7.46,9.96,10.55,12.9,15.88,16.61,69.43,24.77,22.28,66.49,84.71,94.86,96.84,37.87,46.13,81.55,53.08,35.37,821.8,933.6,187.67,492.26,448.15,218.91,147.74,200.61,216.85,0.85,5.35,297.68,0.7,5.14,214.22,0
1996,66.31,65.56,65.81,78.88,81.12,87.81,89.94,86.06,79.25,73,69.12,62,4.12,3.52,4.48,3.05,2.84,3.48,3.19,3.85,4.29,3.95,3.8,3.53,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,195.33,178.12,152.33,78.72,48.23,33.75,34.89,53.25,92.17,125.74,170.03,206.64,19.69,18.63,17.81,12.79,11.49,9.28,8.16,9.56,10.99,13.89,14.6,17.01,56.1,55.11,44.15,46.19,27.08,86.14,93.12,85.39,97.3,45.12,37.69,30.42,853.4,1921.2,217.84,627.52,1341.66,217.27,186.98,391.66,139.67,0.85,5.35,297.68,1.15,6.81,205.68,0
1997,57.75,55.81,67.31,64,80.44,84.5,84.56,78.75,80.25,66.25,60.75,53.94,3.3,2.66,3.2,2.91,2.8,3.35,3.78,3.4,2.76,4.01,2.99,4,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,249.18,213.08,151.36,97.03,47.68,36.78,38.08,55.78,72.17,142.46,178.11,234.56,21.17,23.56,16.82,14.21,11.29,9.02,7.19,8.56,10.88,13.9,17.36,19.05,41.77,13.62,25.74,10.26,68.03,38.79,27.4,57.77,75.68,35.6,55.7,13.46,962.6,2262.3,170.1,584.68,1189.37,170.85,174.56,304.05,129.92,1,6,400,0.96,6.54,229.47,0
1998,58.62,53.69,54.56,69.31,78.12,86.5,88.5,85.62,79.62,74.75,75.62,66.06,3,3.27,2.95,2.87,3.28,3.69,3.8,3.3,3.7,4.7,3.16,4.15,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,234.28,206.77,180.11,86.01,51.79,45.87,34.72,52.98,84.14,127.14,154.87,210.63,21.29,20.25,18.39,13.42,11.34,8.54,7.26,9.82,12.29,12.9,15.43,19.33,33.82,33.97,9.78,64.05,26.47,88.08,70.41,41.04,70.44,67.17,75.87,34.96,856.8,1502.8,217.17,618.11,928.26,196.09,172.34,369.08,193.31,1,4,297.68,0.94,10.22,254.85,0
1999,66.75,63.31,67.44,73.5,73.44,87.44,83.38,85,76.38,75.44,64.5,64.69,2.67,3.43,3.47,2.88,3.27,2.64,2.9,3.33,3.72,3.09,3.65,3.83,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,234.09,173.37,146.99,88.05,58.85,34.26,39.17,54.72,92.86,121.68,152.21,205.98,22.7,21.44,17.9,12.93,11.9,9.19,9.08,9.91,12.53,14.66,14.73,18.51,34.17,39.8,52.75,23.19,64.07,49.81,39.01,75.29,42.98,54.66,52.8,73.22,948.6,1462.3,217.17,568.15,869.84,196.09,187.99,458.02,193.31,1,5,297.68,0.52,2.55,254.85,0
2000,63.19,56.19,67.69,73.38,83.88,88.12,86.56,83.62,79.25,76.81,77.88,55.69,3.01,2.92,2.64,3.09,3.48,2.95,4.09,2.73,4.08,3.09,2.57,3.65,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,219.59,215.99,152.38,88.47,53.35,32.75,40.84,48.67,80,110.18,155.84,235.32,19.4,23.34,19.27,15,10.78,8.89,8.4,8.97,11.66,13.14,18.4,19.34,25.75,46.94,25.53,51.43,86.09,48.17,62.86,58.27,85.1,82.4,63.61,24.99,1234.6,2642.1,217.17,585.26,1189.3,196.09,138.27,296.26,193.31,0.85,5.35,297.68,0.68,4.01,254.85,0
2001,56,59.31,65.94,69,84,84.25,89.19,80.38,79.19,77.75,73.81,64.69,3.15,2.46,3.39,3.23,2.84,3.46,3.28,4.04,3.53,3.16,3.01,3.26,16.58,15.74,11.68,8.33,5.31,3.76,4.63,6.05,9.43,11.2,14.83,15.86,0.48,0.45,0.3,0.17,0.09,0.05,0.05,0.09,0.17,0.23,0.36,0.42,245.4,196.84,154.52,94.32,50.09,35.48,34.52,64.05,82.7,107.7,139.85,186.27,23.49,23,17.83,14.41,11.34,10.02,8.72,9.86,12.96,12.7,14.97,16.39,32.74,32.14,50.08,49.86,23.87,60.31,46.27,91.4,58.4,88.55,52.56,31.13,1142.6,3079.7,217.17,693.21,1670.47,196.09,139.86,351.39,193.31,2,18,297.68,0.83,7.61,254.85,0
2002,60.75,68.19,62.19,76.31,78.94,83.31,79.88,78.25,68.62,64.25,55.88,57.62,3.53,3.29,3.02,2.66,2.46,4.3,3.7,3.5,3.99,3.71,3,3.51,16.18,13.55,12.7,8.13,5.81,4.07,4.64,6.96,9.45,13.07,16.07,18.35,0.46,0.37,0.32,0.16,0.09,0.05,0.06,0.1,0.17,0.29,0.41,0.49,215.11,174.58,167.8,94.08,59.53,45.68,49.67,61.34,108.28,145.89,191.06,241.01,19.21,19.22,18.14,15.99,11.76,9.49,8.83,9.16,11.83,13.93,17.48,19.44,28.79,48.5,23.65,38.01,38.74,61.98,41.49,33.78,48.63,32.54,36.9,31.1,1136.4,2791.4,225.77,700.12,1655.72,191.89,141.97,333.92,173.1,2,14,264.29,0.94,9.12,175.46,0
2003,47.44,58.88,68.88,78.06,80.62,85.94,83.56,81.06,76.81,79.25,69.69,61.94,3.96,2.32,3.45,3.1,2.45,4.2,4,3.73,4.09,3.13,3.27,4.06,18.36,14.64,11.6,7.72,5.94,3.93,4.67,6.34,9.7,11.36,16.88,18.49,0.52,0.39,0.28,0.16,0.09,0.05,0.05,0.09,0.17,0.23,0.41,0.5,263.44,188.47,161.06,96.72,55.58,41.75,43.1,58.87,90.14,111.32,173.3,215.14,21.39,21.36,17.62,15.12,11.81,9.64,8.51,8.59,10.38,11.53,16.83,20.36,19.65,41.21,24.61,42.85,40.84,68.67,72.02,89.78,52.02,71.82,33.78,57.57,1238.9,890.2,260.06,777.52,478.42,266.51,188.07,250.09,240.32,1,3,297.68,1.39,15.2,164.48,0
2004,57.5,56.19,54.44,68.31,82.19,84.94,86,81.69,82.25,71.69,70.31,68,3.88,3.23,3.37,3.06,3.45,4.12,3.47,3.75,3.42,3.7,3.24,2.83,18.03,16.34,13.49,8.49,5.28,3.86,4.65,6.82,8.89,13.77,15.54,17.33,0.49,0.46,0.34,0.19,0.09,0.05,0.06,0.1,0.17,0.3,0.4,0.48,219.68,202.35,174.22,101.59,55.31,43.73,42.91,60.96,69.72,138.1,165.69,203.54,18.54,21.28,17.86,14.98,10.62,9.42,7.86,9.69,11.01,14.46,16.35,18.82,28.41,15.31,17.33,32.74,42.11,79.56,60.88,67.43,63.45,29.57,80.44,65.1,1409.2,3145.5,176.07,871.62,2274.52,144.52,194.3,507.28,106.06,1,3,233.34,0.6,6.57,258.91,0
2005,59.5,70.62,67.62,64.25,73.19,81.12,86.38,79.31,80.06,73.94,69.38,54.81,3.36,3.34,2.97,3.57,3.26,2.79,3.52,3.8,3.27,4.02,3.58,3.55,17.26,14.73,12.59,9.16,6.11,4.31,4.23,6.62,9.03,12.97,15.61,18.44,0.48,0.4,0.31,0.2,0.09,0.05,0.05,0.09,0.16,0.27,0.39,0.5,221.94,159.27,155.42,121.01,61.82,42.77,37.05,63.31,79.1,121.64,174.37,227.89,20.59,18.53,17.18,16.87,11.63,10.03,9.08,9.77,11.28,14.16,17.19,19.45,39.63,83.31,15.28,19.32,12.52,78.11,58.07,82.88,64.73,73.28,52.81,42.03,1327,1927.1,155.52,924.29,1305.08,140.76,149.86,284.45,141.33,1,4,225,1.04,2.24,267.98,0
2006,59.12,57.62,59.56,73.06,86.25,84.25,87.31,78.44,69.62,53.88,53.75,53.88,3.34,3.15,3.09,3.57,3.45,2.88,3.95,3.58,4.08,3.55,3.55,3.34,17.67,16.48,13.46,7.89,5.22,4.61,4.49,7.34,10.69,15.23,17.13,17.69,0.52,0.45,0.34,0.16,0.08,0.05,0.06,0.12,0.21,0.34,0.44,0.5,249.03,188.11,172.87,87.22,47.56,32.43,43.7,63.49,107.45,178.06,205.62,242.17,23.04,20.26,19.5,12.61,10.15,7.71,8.55,9.59,12.27,14.4,17.02,18.8,40.72,19.28,17.2,51.11,47.37,24.15,53.74,27.78,40.29,8.74,25.06,14.87,1314.6,2908.9,160.17,866.48,2003.56,117.05,151.3,328.13,104.84,1,10,270,1.93,19.22,166.58,0
2007,55.81,63.44,67.44,72.69,77.62,92.12,89.38,82,77.19,68.81,77.38,63.88,3.41,2.83,3.03,2.42,3.81,3.77,3.69,4.12,3.35,3.59,2.66,3.59,17.05,15.4,12.55,9.01,5.24,4.22,4.67,6.89,9.85,13.74,15.28,17.09,0.5,0.43,0.33,0.2,0.09,0.05,0.05,0.1,0.16,0.29,0.38,0.47,240.72,215.33,170,104.41,62.19,31.53,38.54,69.65,106.02,161.24,184.27,211.43,21.86,23,19.07,15.89,13.45,8.01,8.01,10.32,11.53,14.45,18.55,20.08,55.89,30.98,37.27,41.34,74.1,72.46,75.23,30.66,36.1,23.67,76.64,63.91,1347.3,879.3,219.84,912.97,604.52,237.38,176.09,134.18,280.23,0.85,2,350,0.33,2.55,275.16,0
2008,61.5,70.25,58.75,71.12,80.88,83.81,84.88,85.88,67.75,60.88,66.81,67.88,3.19,2.7,2.8,4.5,2.6,4.18,3.3,3.16,3.58,2.91,3.39,3.32,17.99,14.71,12.45,8.3,5.65,4.08,4.58,6.39,10.84,13.86,15,16.93,0.52,0.4,0.32,0.17,0.09,0.05,0.05,0.09,0.2,0.3,0.38,0.46,243.03,186.22,180.44,90.47,50.64,40.23,50.05,50.52,104.5,153.43,151.86,197.93,22.29,19.43,20.14,13.84,11.25,10.58,8.01,8.33,11.77,14.93,16.33,17.6,40.39,27.73,22.03,20.8,37.41,33.14,73.34,61.61,32.01,14.59,71.08,73.73,1514,1995.3,323.65,1106.93,1789.23,295.19,210.47,334.69,307.31,0.85,5.35,297.68,1,7,254.85,0
2009,46.94,59.31,61.06,71.81,79.5,86.81,83.38,77.62,74.38,78.5,60.88,58.44,3.52,3.32,3.5,4.33,3.27,3.91,3.31,4.12,3.71,3.23,3.36,3.48,19.83,15.95,11.97,8.73,5.96,4.2,4.72,6.34,9.61,12.83,16.51,18.65,0.59,0.45,0.3,0.18,0.09,0.05,0.06,0.09,0.17,0.27,0.42,0.52,271.29,213.78,152.62,97.77,51.05,33.45,45.44,79.9,92.13,129.9,200.84,217.79,21.77,21.72,18.38,14.28,11.65,9.41,8.84,10.57,11.89,13.63,20.61,19.72,6.84,5.38,30.15,48.16,27.97,51,67.75,67.43,78.42,45.88,70.23,33.06,1533.6,1755.7,264.75,1136.15,1461.36,259.94,190.8,236.3,214.9,0.85,5.35,297.68,0.45,2.96,348.98,0
2010,55.56,69.75,69.88,76.81,84.5,87.25,87.62,86.44,80.69,78.44,78.5,73.25,3.34,2.84,3.09,3.27,3.04,3.34,3.06,3.25,3.72,3.05,3.18,2.98,18.77,14.81,12.1,7.92,5.6,4.27,4.92,6.1,9.27,12.55,14.9,16.6,0.54,0.41,0.3,0.16,0.09,0.05,0.05,0.09,0.17,0.27,0.38,0.45,243.85,182.64,135.59,82.89,52.53,35.95,32.97,54,74.44,116.06,134.17,159.74,21.58,22.4,19.1,15.89,11.46,8.79,7.98,8.51,10.37,13.91,16.87,18.42,32.84,64.45,67.55,52.58,49.71,50.65,48.89,116.79,69.36,101.39,91.44,107.1,1801.1,2994.9,196.94,976.32,1864.51,159.19,168.44,300.11,177.94,0.04,0.31,322.59,0.96,6,254.85,0
2011,67.25,75.69,76.25,79.06,86.19,87.31,87.12,83.88,77.31,78.25,74.81,69.62,3.27,3.54,2.73,2.76,2.65,3.7,3.99,3.13,2.95,2.97,2.98,2.52,17.3,13.92,11.55,8.68,5.34,4.41,4.46,6.99,9.82,12.68,15.57,17.8,0.52,0.4,0.29,0.18,0.09,0.05,0.05,0.11,0.17,0.27,0.39,0.48,187.17,130.58,111.8,74.76,41.79,35.46,44.34,53.68,93.75,115.83,153.95,200.16,21.39,20.52,17.63,14.19,10.48,9.29,8.56,10.69,11.95,14.47,18.07,18.89,119.3,106.87,59.03,42.3,46.95,47.64,70.6,62.63,48.8,52.54,82.43,46.59,1793.1,4412.4,222.29,801.62,1944.92,192.92,165.93,236.98,177.66,0.24,2.45,245.4,1.56,11.6,258.83,0
2012,60.19,70.06,83.75,81.44,82.56,90.94,89.62,84.75,76.94,74.12,69.31,58.5,3.27,3.39,3.24,2.94,3.06,4.22,2.77,3.41,4.72,3.23,3.48,3.9,17.65,13.4,11.02,8.52,5.45,4.02,4.56,6.5,9.78,13.7,16.19,18.63,0.51,0.38,0.27,0.17,0.08,0.05,0.05,0.09,0.17,0.3,0.41,0.5,230.55,171.08,121.27,92.63,56.38,33.68,30.9,52.51,83.45,134.29,174.05,225.67,21.74,20.88,17.48,15.06,10.9,8.5,8.49,9.1,11.85,13.66,17.84,19.57,32.77,54.74,101.29,30.29,48.85,79.66,65.71,66.16,44.28,34.65,30.45,31.5,1668.93,3943.32,197.3,831.25,2005.07,162.44,131.1,234.09,205.48,0.81,6.12,245.14,4.18,20.88,229.89,0
2013,48,58.81,64.38,76.06,80.06,90.12,88.06,84.69,78.81,71,72.69,61.19,3.25,2.89,3.56,3.3,3.56,2.91,3.77,4.03,4.14,4.3,3.12,2.95,18.56,15.13,12.2,7.89,5.34,4.31,4.66,6.48,9.39,13.34,15.41,17.73,0.52,0.4,0.31,0.16,0.09,0.05,0.06,0.1,0.18,0.3,0.38,0.49,262.09,195.1,177.59,96.57,49.56,30.73,54.02,85.43,95.83,135.93,155.55,211.89,21.56,22.33,20.1,15.27,11.54,9.48,9.3,10.36,13.49,13.69,15.65,19.51,8.34,43.9,31.55,20.82,45.02,96.07,74.35,88.15,60.68,57.9,37.29,40.24,1591.93,3422.87,279.81,854.15,1952.22,247.88,117.1,233.16,216.34,0.46,3.49,235.1,3,28,218.58,0
2014,51.19,56.12,69.31,83.19,83.94,90.94,87.94,83.69,78.44,72.06,60.25,67.25,4.26,3.48,3.27,3.47,2.71,3.91,5,3.14,3.88,3.32,3.19,3.61,18.4,15.93,11.63,7.19,5.3,3.77,4.53,7.21,10.41,13.73,17.13,16.51,0.53,0.45,0.29,0.16,0.08,0.05,0.05,0.1,0.19,0.3,0.42,0.45,258.95,197.64,146.84,83.33,47.92,30.85,37.9,55.8,95.71,161.59,193.86,220.07,22.59,21.89,18.98,15.16,12.99,10.01,8.58,8.97,12.19,15.48,17.57,19.37,21.47,21.14,39.04,81.38,48.66,86.18,55.09,31.75,45.39,29.37,41.45,45.75,1535.82,3395.9,299.88,918.67,2035.82,230.36,105.72,213.08,209.42,0.62,6.96,314.8,3.43,38.07,290.85,0
2015,66.12,66.31,63.25,80.75,83.25,86.62,85.94,84.75,77.25,63.81,64.25,53.38,3.06,2.32,2.87,2.34,3.52,3.7,3.69,3.28,2.99,3.35,3.37,3.59,16.15,14.8,12.55,8,5.26,4.56,4.37,6.38,10.56,14.02,16.34,18.85,0.45,0.41,0.3,0.17,0.09,0.05,0.05,0.1,0.2,0.32,0.42,0.52,214.55,198.35,157.89,74.55,66.73,34.85,30.08,43.46,85.66,170.62,179.85,251.3,20.83,22.39,17.23,13.8,11.39,8.7,7.6,8.94,11.27,17.63,17.71,21.48,64.87,27.89,17.23,61.59,48.7,42.26,62.06,49.79,34.06,18.74,44.53,27.72,1492.66,2631.31,271.58,916.08,1373.84,243.49,133.21,179.47,252.77,0.25,2.33,369.56,4.82,58.9,307.82,0
2016,67.69,62.12,68.56,67.44,78.75,89.62,87.62,82.44,83.5,72.75,70.44,62.31,2.48,2.87,3.04,3.42,4.3,3.56,4.14,3.53,3.08,4.38,3.77,3.84,15.8,16.95,11.52,8.64,5.26,3.81,4.05,6.7,8.73,13.3,16.54,18.05,0.45,0.47,0.29,0.18,0.09,0.05,0.05,0.1,0.16,0.29,0.43,0.52,222.69,179.57,171.61,118.68,51.55,19.4,24.5,42.91,63.58,96.83,141.57,189.46,21.74,21.32,20.61,16.13,12.77,8.99,9.09,9.63,11.25,12.99,15.9,19.8,64.83,17.45,38.02,21.13,88,80.86,102.65,65.34,131.47,84.43,41.81,42.2,1341.52,1814.87,247.55,844.47,1107.38,234.5,140.44,185.3,298.26,0.19,0.22,394.59,5.37,61.21,336.84,0
2017,58.31,60.81,67.12,73.88,78.81,83.62,80.75,80.38,71,67.69,63.06,67.62,3.8,2.99,3.49,2.89,2.97,2.48,3.52,3.44,3.79,3.3,2.77,3.12,18.84,15.71,12.77,8.34,5.7,4.58,4.78,6.73,9.35,13.68,16.62,17.56,0.56,0.44,0.33,0.17,0.09,0.05,0.05,0.09,0.16,0.3,0.41,0.49,210.36,157.8,175.06,76.84,30.17,27.78,28.68,40.67,68.5,113.96,166.31,186.92,21.72,20.41,21,15.04,11.07,8.34,8.4,8.87,11.48,14.84,19.05,19.9,37.45,32.78,36.18,80.21,45.31,13.57,54.97,85.34,48.99,48.52,50.42,81.65,1454.2,4664.83,202.75,946.13,3082.85,161.04,161.87,493,245.11,0.85,5.35,297.68,7.59,68.65,332.9,0
2018,58.5,58.81,59.56,62.88,76.69,85.5,79.62,76.81,70.44,63.19,66.62,61.5,2.83,3.95,4.28,4.8,2.85,3.78,4.3,4.11,3.59,2.95,3.82,3.33,18.2,15.89,12.98,9.17,5.46,4.3,4.88,6.57,10.94,13.65,14.67,17.37,0.53,0.44,0.33,0.2,0.09,0.05,0.05,0.09,0.19,0.29,0.36,0.49,212.64,185.84,166.81,89.11,43.62,22.89,42.03,45.86,75.56,125.53,151.06,208.9,22.96,21.68,18.88,16.7,11.74,8.68,8.68,9.2,10.82,15.19,16.86,21.5,34.1,11.54,19.57,16.23,61.01,55.65,50.09,62.08,22.96,30.31,50.42,71.59,1446.8,3682.09,236.74,843.68,2109.69,209.5,97.13,188.47,211.26,0.85,5.35,297.68,5.11,59.77,338.88,0
2019,52,58.75,66.25,66.88,79.81,85.56,83.75,80.06,72.75,61.56,57.94,49.94,3.43,3.62,3.86,3.1,3.35,3.23,4.32,3.66,3.7,3.73,3.49,3.17,18.6,16.16,11.62,8.66,5.3,4.52,4.58,6.78,10.21,13.83,16.14,18.73,0.54,0.45,0.3,0.17,0.08,0.05,0.05,0.09,0.17,0.3,0.41,0.52,228.29,185.08,156.15,91.71,51.8,34.63,38.9,56.84,84.08,130.13,165.12,208.9,24.15,21.18,19.43,15.72,11.9,9.28,9.27,8.65,11,14.78,15.84,20.68,11.3,22.05,28.1,11.52,88.03,67.52,59.12,54.78,43.4,22.82,47.15,11.61,1402.87,2276.6,345.57,892.81,1337.32,318.89,134.22,165.35,372.04,0.85,5.35,297.68,7.04,66.18,427.93,0
2020,61.12,77.12,73.56,77.62,82.06,86.75,88.31,83.94,72.56,79.5,67.06,62.38,3.55,3.24,2.61,3.95,3.37,3.23,3.32,3.4,3.55,3.34,4.09,3.49,16.73,14.41,12.02,7.7,5.59,4.53,4.92,6.7,9.78,11.83,17.18,18.2,0.48,0.39,0.3,0.16,0.08,0.05,0.06,0.09,0.17,0.27,0.45,0.52,228.29,185.08,156.15,91.71,51.8,34.63,38.9,56.84,84.08,130.13,165.12,208.9,21.15,20.67,18.1,14.11,10.43,8.68,8.16,9.06,12.26,14.58,19.14,18.22,49.04,52.41,42.54,104.66,51.61,44.06,46.07,70.51,50.61,88.1,34.51,36.21,1428.86,3714.32,315.82,1101.69,3116.61,248.65,108.28,197.03,332.08,0.85,5.35,297.68,5.15,53.63,453.35,1
2021,62.06,67.25,73.25,72.5,81.56,89.56,85.75,83.62,76.81,76.62,80.56,71.5,3.04,2.73,2.98,3.12,2.94,5.12,3.67,4.06,3.69,4.31,3.24,2.95,17.05,15.55,11.7,8.67,5.54,3.7,4.48,6.49,9.99,12.94,14.63,18.12,0.5,0.44,0.3,0.19,0.09,0.04,0.05,0.09,0.18,0.27,0.37,0.49,228.29,185.08,156.15,91.71,51.8,34.63,38.9,56.84,84.08,130.13,165.12,208.9,20.79,19.88,17.56,14.36,11.53,9.75,8.58,10.04,11.92,13.22,15.72,19.13,73.35,26.82,47.66,19.03,57.08,88.1,75.44,53.94,73.48,72.35,79.62,30.96,1500,4768,269.42,870,2784,237.07,135,364.5,245.08,0.85,5.35,297.68,4.1,40.81,384.49,1
